UnixTimeStamp,Value,close
1598659200,122,23.64
1598745600,38,23.15
1598832000,476,24.74
1598918400,452,24.71
1599004800,394,20.37
1599091200,8816,21.03
1599177600,7974,19.49
1599264000,3255,23.18
1599350400,6879,22.46
1599436800,9327,23.26
1599523200,22611,24.52
1599609600,19555,24.51
1599696000,14255,25.42
1599782400,30756,28.53
1599868800,102051,31.18
1599955200,139279,31.16
1600041600,402573,27.11
1600128000,147525,27.85
1600214400,76860,27.1
1600300800,126437,27.67
1600387200,134029,27.2
1600473600,49300,26.37
1600560000,47019,23.02
1600646400,90905,24.05
1600732800,116682,22.82
1600819200,89882,24.57
1600905600,124661,24.68
1600992000,108175,26.2
1601078400,91617,26.25
1601164800,100623,26.98
1601251200,164445,28.83
1601337600,189983,29.34
1601424000,190862,27.46
1601510400,160861,27.33
1601596800,128762,28.24
1601683200,159236,29.03
1601769600,133724,28.61
1601856000,144965,27.71
1601942400,169115,27.71
1602028800,198754,27.71
1602115200,213900,28.4
1602201600,216497,28.41
1602288000,203125,28.54
1602374400,181386,30.72
1602460800,186273,30.73
1602547200,181056,30.87
1602633600,165489,31.37
1602720000,256724,30
1602806400,195040,30.25
1602892800,232591,30.68
1602979200,206921,29.92
1603065600,252173,28.84
1603152000,262272,29.79
1603238400,206741,30.71
1603324800,175414,30.65
1603411200,206816,30.66
1603497600,166764,30.16
1603584000,203864,31.08
1603670400,206904,31.54
1603756800,183768,30.37
1603843200,176114,29.87
1603929600,168820,28.52
1604016000,152483,28.52
1604102400,144797,28.51
1604188800,133651,27.85
1604275200,139221,26.9
1604361600,175229,26.98
1604448000,145250,27.72
1604534400,137653,29.05
1604620800,146274,27.78
1604707200,140948,28.42
1604793600,106337,28.11
1604880000,133382,28.22
1604966400,123764,28.02
1605052800,134093,27.75
1605139200,115206,28.22
1605225600,111137,27.92
1605312000,99845,27.68
1605398400,104808,27.99
1605484800,107793,28.63
1605571200,115757,28.1
1605657600,135869,28.16
1605744000,138862,28.96
1605830400,151138,30.53
1605916800,118346,30.02
1606003200,111174,31
1606089600,116865,33.87
1606176000,168156,31.29
1606262400,162314,28.25
1606348800,149167,28.49
1606435200,171334,29.18
1606521600,194657,30.12
1606608000,190714,31.48
1606694400,189242,30.16
1606780800,181139,30.3
1606867200,185979,30.73
1606953600,231557,29.02
1607040000,237154,29.75
1607126400,175198,29.51
1607212800,172972,29.39
1607299200,163599,27.67
1607385600,189504,28.16
1607472000,173206,27.67
1607558400,167297,27.34
1607644800,166337,28.17
1607731200,146404,29.12
1607817600,143080,30.03
1607904000,151170,29.53
1607990400,137378,30.55
1608076800,149223,30.24
1608163200,155340,30.96
1608249600,212134,33.31
1608336000,231832,34.26
1608422400,201672,32.18
1608508800,353987,33.54
1608595200,395680,31.19
1608681600,473760,32.5
1608768000,409807,33.18
1608854400,333225,33.56
1608940800,300088,33.6
1609027200,328403,35.88
1609113600,340521,39.04
1609200000,355741,38.13
1609286400,321431,37.4
1609372800,387700,37.76
1609459200,351731,38.29
1609545600,349435,41.36
1609632000,388973,41.1
1609718400,419057,41.9
1609804800,386939,42.27
1609891200,364275,43.62
1609977600,395637,42.38
1610064000,408690,43.94
1610150400,396586,42.44
1610236800,439160,38.16
1610323200,416585,38.25
1610409600,362717,40.15
1610496000,382569,41.86
1610582400,365079,40.87
1610668800,327478,43.09
1610755200,294426,45.91
1610841600,268868,45.34
1610928000,277469,42.51
1611014400,322736,42.6
1611100800,277785,38.67
1611187200,324221,40.9
1611273600,340976,40.9
1611360000,326713,41.87
1611446400,346519,41.76
1611532800,386760,41.78
1611619200,532654,41.01
1611705600,771461,42.61
1611792000,736931,42.88
1611878400,584088,44.82
1611964800,648358,44.38
1612051200,636990,51.48
1612137600,699127,51.08
1612224000,727103,52.22
1612310400,751667,56.03
1612396800,830313,67.62
1612483200,970733,72.92
1612569600,954847,68.45
1612656000,1078981,79.92
1612742400,1275364,107.67
1612828800,1659274,128.96
1612915200,1679515,124.05
1613001600,1707447,136.9
1613088000,1501907,133.4
1613174400,1259752,136.08
1613260800,1661650,129.86
1613347200,1607007,130.09
1613433600,1928846,165.54
1613520000,2124520,195.58
1613606400,2481692,333.36
1613692800,3222127,254.4
1613779200,2844592,294.76
1613865600,2336773,267.36
1613952000,2642661,231.78
1614038400,2707567,254.46
1614124800,2671457,234.57
1614211200,2770274,221.71
1614297600,2823391,225.74
1614384000,2559463,210.55
1614470400,2415306,254.93
1614556800,2516547,239.98
1614643200,2557374,240.78
1614729600,2233572,229.68
1614816000,2705769,225.63
1614902400,2298737,226.42
1614988800,2063146,239.94
1615075200,2335566,240.7
1615161600,2201395,293.65
1615248000,2368350,278.68
1615334400,2610651,290.15
1615420800,2930895,263.21
1615507200,2749740,276.04
1615593600,2458323,263.31
1615680000,2554382,254.61
1615766400,2916566,258.5
1615852800,3726576,269.92
1615939200,2721126,261.01
1616025600,3209757,263.13
1616112000,2857630,264.48
1616198400,2653992,264.67
1616284800,2530343,254.95
1616371200,2762747,255.25
1616457600,2745092,248.44
1616544000,3238655,234.4
1616630400,3229855,255.18
1616716800,3022243,256.01
